Title,Link,Summary
"[HTML] Artificial intelligence revolutionises weather forecast, climate monitoring and decadal prediction",https://www.mdpi.com/2072-4292/13/16/3209,"… weather forecast as well, the high potential interest in AI techniques has been recognised
[29]. The different elements in the traditional satellite remote sensing/NWP weather forecast …"
AI-driven weather forecasts for climate adaptation in India,https://www.nature.com/articles/s41558-025-02521-9,"… team of climate scientists, artificial intelligence (AI) experts, economists and social scientists
rolled out an AI-based weather forecast programme to provide long-range forecasts about …"
[PDF] Climate resilience with AI-powered weather forecast,https://www.cynthiazeng.com/papers/climate_resilience_ai_weather.pdf,"… , artificial intelligence (AI) is now emerging as a transformative force. This essay delves into
the historical context of weather forecasting… integrating AI into weather prediction and climate …"
AI Weather and Climate Prediction and Applications,https://journals.ametsoc.org/view/journals/bams/106/12/BAMS-D-25-0260.1.xml,"… The application of data-driven transformer models to weather forecasting is often limited
by their substantial computational requirements during training. Incorporating physical …"
"Ai foundation models for weather and climate: Applications, design, and implementation",https://arxiv.org/abs/2309.10808,"… Evaluating weather forecasts is a complex task, and AI emulators have several advantages
that make them appealing. The most significant is their speed. Despite requiring several …"
[PDF] Weather forecasting: a systematic review using AI approaches,https://iciset.in/Paper1426.pdf,"Abstract: The global climate is in a perpetual state of rapid … depend on accurate weather
forecasts to facilitate seamless … Impacts of weather forecasting is huge in daily life activities so; …"
Meteorologists predict better weather forecasting with AI,https://pubs.aip.org/physicstoday/article/72/5/32/926164,"… Climate Corporation in San Francisco, which uses weather information to help farmers manage
risk. Weather forecasting … , that are adopting artificial intelligence (AI) methods to analyze …"
Artificial intelligence for weather forecasting,https://search.proquest.com/openview/d305453d90bc8af189c2ccd3ba9682a5/1?pq-origsite=gscholar&cbl=7343585,"… Pioneering artificial intelligence (AI) in weather forecasting aims to benefit billions of
people in their daily lives by empowering the global community to address environmental …"
[HTML] Hybrid forecasting: blending climate predictions with AI models,https://hess.copernicus.org/articles/27/1865/2023/hess-27-1865-2023.html,"… -based weather or climate simulation models with … artificial intelligence or AI) and can
range from simple linear regression to deep neural networks. Recognizing that dynamical and AI …"
AI‐driven weather forecasts to accelerate climate change attribution of heatwaves,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2025EF006453,"… using weather models powered by artificial intelligence (AI) to quickly estimate how climate
… The method combines fast AI predictions with data from global climate models. We apply …"
AI-based prediction of high-impact weather and climate extremes under global warming: A perspective from the large-scale circulations and teleconnections,https://www.frontiersin.org/journals/earth-science/articles/10.3389/feart.2023.1126381/full,"… and projection of future climate, especially for the climate anomalies and extremes that bring
… of Artificial Intelligence (AI) has greatly advanced weather forecasting, climate monitoring …"
Integration of IoT-AI powered local weather forecasting: A Game-Changer for Agriculture,https://arxiv.org/abs/2501.14754,"… This paper proposes an innovative approach to develop a comprehensive ecosystem of
IoT and AI-driven local weather forecasting for climate-smart agriculture. Leveraging the …"
Advancing weather and climate forecasting for our changing world,https://journals.ametsoc.org/view/journals/bams/104/4/BAMS-D-21-0262.1.xml,"… : A machine learning approach for weather forecasting. Proc. 25th ACM SIGKDD Int. …
The operations component is the creation of forecast and other products, while service is the …"
Enhancing climate forecasting with AI: Current state and future prospect,https://f1000research.com/articles/13-1094,"… Consequently, a bibliometric study was carried out to comprehend the present research
trends in the field of Artificial intelligence and weather forecasting as well as to investigate the …"
Predictability study of weather and climate events related to artificial intelligence models,https://link.springer.com/article/10.1007/s00376-024-4372-7,"… breakthroughs in addressing weather forecasting challenges through AI and big data, …
community for achieving more accurate weather forecasting and climate prediction. Notably, these …"
Do AI models produce better weather forecasts than physics-based models? A quantitative evaluation case study of Storm Ciarán,https://www.nature.com/articles/s41612-024-00638-w,"… Whilst ML has had applications in climate science for many … used for post-processing
weather forecasts 6,7 , recent … of ML and AI techniques to weather and climate prediction 8 . …"
Forecasting the future with yesterday's climate: Temperature bias in AI weather and climate models,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2025GL119740,"… Over the last 5 years, a new generation of fully data-driven AI models has emerged, reimagining
weather forecasts and exploring early applications to climate prediction (H. Zhang et al., …"
"[HTML] Advances in AI-based rainfall forecasting: A comprehensive review of past, present, and future directions with intelligent data fusion and climate change …",https://www.sciencedirect.com/science/article/pii/S2590123025018456,"… of AI models with climate change simulation output through a fusion process that combines
historical climate … This fusion enables the AI models to learn not only from observed rainfall …"
Artificial intelligence for modeling and understanding extreme weather and climate events,https://www.nature.com/articles/s41467-025-56573-8,"… AI-driven platforms analyze vast amounts of data from weather forecasts, river levels, and
historical flood patterns to predict future events accurately, integrating this information with …"
Robustness of AI-based weather forecasts in a changing climate,https://arxiv.org/abs/2409.18529,"… 2.9K warmer climate (compared to pre-industrial). To our knowledge, this is the first time
that AI-based weather forecasting models are shown to work well across climate regimes, with …"
